2024-09-15 16:54:47.418 [info] Starting Python Locator /root/.vscode/extensions/ms-python.python-2024.14.1-linux-x64/python-env-tools/bin/pet server
2024-09-15 16:54:48.220 [info] Discovered env: /usr/bin/python3
2024-09-15 16:54:48.220 [info] Discovered env: /bin/python3
2024-09-15 16:54:48.220 [info] Locator Conda took 89.568632ms
2024-09-15 16:54:48.220 [info] Locator Homebrew took 267.001µs
2024-09-15 16:54:48.220 [info] Locator LinuxGlobal took 108.383505ms
2024-09-15 16:54:48.221 [info] Locator PipEnv took 79.072µs
2024-09-15 16:54:48.221 [info] Locator Poetry took 708.553µs
2024-09-15 16:54:48.221 [info] Locator PyEnv took 1.316266ms
2024-09-15 16:54:48.221 [info] Locator Venv took 78.229µs
2024-09-15 16:54:48.221 [info] Locator VirtualEnv took 20.797µs
2024-09-15 16:54:48.221 [info] Locator VirtualEnvWrapper took 232.177µs
2024-09-15 16:54:48.221 [info] Locator GlobalVirtualEnvs took 507.585µs
2024-09-15 16:54:48.221 [info] Locator Locators took 109.481138ms
2024-09-15 16:54:48.221 [info] Locator Path took 169.924597ms
2024-09-15 16:54:48.221 [info] Locator Workspaces took 2.64949ms
2024-09-15 16:54:48.221 [info] Refresh completed in 170ms
